Time,Temperature(℃),Humidity(%RH)
2022-05-15 11:28:00,16.87,62.37
2022-05-15 11:27:00,16.83,62.34
2022-05-15 11:26:00,16.79,62.31
2022-05-15 11:25:00,16.76,62.28
2022-05-15 11:24:00,16.72,62.25
2022-05-15 11:23:00,16.69,62.22
2022-05-15 11:22:00,16.65,62.19
2022-05-15 11:21:00,16.62,62.16
2022-05-15 11:20:00,16.58,62.13
2022-05-15 11:19:00,16.55,62.10
2022-05-15 11:18:00,16.52,62.19
2022-05-15 11:17:00,16.47,62.15
2022-05-15 11:16:00,16.43,62.12
2022-05-15 11:15:00,16.39,62.09
2022-05-15 11:14:00,16.35,62.06
2022-05-15 11:13:00,16.30,62.02
2022-05-15 11:12:00,16.26,61.99
2022-05-15 11:11:00,16.22,61.96
2022-05-15 11:10:00,16.18,61.93
2022-05-15 11:09:00,16.14,61.90
2022-05-15 11:08:00,16.18,61.81
2022-05-15 11:07:00,16.16,61.79
2022-05-15 11:06:00,16.14,61.78
2022-05-15 11:05:00,16.12,61.77
2022-05-15 11:04:00,16.10,61.76
2022-05-15 11:03:00,16.08,61.74
2022-05-15 11:02:00,16.06,61.73
2022-05-15 11:01:00,16.04,61.72
2022-05-15 11:00:00,16.02,61.71
2022-05-15 10:59:00,16.01,61.70
2022-05-15 10:58:00,16.05,61.78
2022-05-15 10:57:00,16.02,61.77
2022-05-15 10:56:00,16.00,61.76
2022-05-15 10:55:00,15.97,61.76
2022-05-15 10:54:00,15.95,61.75
2022-05-15 10:53:00,15.92,61.74
2022-05-15 10:52:00,15.90,61.74
2022-05-15 10:51:00,15.87,61.73
2022-05-15 10:50:00,15.85,61.72
2022-05-15 10:49:00,15.83,61.72
2022-05-15 10:48:00,15.88,61.77
2022-05-15 10:47:00,15.84,61.80
2022-05-15 10:46:00,15.80,61.83
2022-05-15 10:45:00,15.76,61.86
2022-05-15 10:44:00,15.72,61.89
2022-05-15 10:43:00,15.68,61.92
2022-05-15 10:42:00,15.64,61.95
2022-05-15 10:41:00,15.60,61.98
2022-05-15 10:40:00,15.56,62.01
2022-05-15 10:39:00,15.52,62.03
2022-05-15 10:38:00,15.58,62.10
2022-05-15 10:37:00,15.55,62.12
2022-05-15 10:36:00,15.53,62.14
2022-05-15 10:35:00,15.51,62.15
2022-05-15 10:34:00,15.49,62.17
2022-05-15 10:33:00,15.47,62.19
2022-05-15 10:32:00,15.45,62.20
2022-05-15 10:31:00,15.43,62.22
2022-05-15 10:30:00,15.41,62.24
2022-05-15 10:29:00,15.39,62.25
2022-05-15 10:28:00,15.39,62.20
2022-05-15 10:27:00,15.35,62.24
2022-05-15 10:26:00,15.32,62.27
2022-05-15 10:25:00,15.29,62.30
2022-05-15 10:24:00,15.26,62.33
2022-05-15 10:23:00,15.22,62.36
2022-05-15 10:22:00,15.19,62.39
2022-05-15 10:21:00,15.16,62.42
2022-05-15 10:20:00,15.13,62.45
2022-05-15 10:19:00,15.10,62.48
2022-05-15 10:18:00,15.08,62.57
2022-05-15 10:17:00,15.03,62.61
2022-05-15 10:16:00,14.99,62.65
2022-05-15 10:15:00,14.95,62.68
2022-05-15 10:14:00,14.91,62.72
2022-05-15 10:13:00,14.86,62.75
2022-05-15 10:12:00,14.82,62.79
2022-05-15 10:11:00,14.78,62.82
2022-05-15 10:10:00,14.74,62.86
2022-05-15 10:09:00,14.70,62.89
2022-05-15 10:08:00,14.73,62.88
2022-05-15 10:07:00,14.67,62.94
2022-05-15 10:06:00,14.62,63.00
2022-05-15 10:05:00,14.57,63.05
2022-05-15 10:04:00,14.52,63.11
2022-05-15 10:03:00,14.46,63.17
2022-05-15 10:02:00,14.41,63.22
2022-05-15 10:01:00,14.36,63.28
2022-05-15 10:00:00,14.31,63.34
2022-05-15 09:59:00,14.26,63.39
2022-05-15 09:58:00,14.26,63.43
2022-05-15 09:57:00,14.19,63.47
2022-05-15 09:56:00,14.12,63.51
2022-05-15 09:55:00,14.06,63.55
